Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
55-59,59,Doctoral degree,Research Scientist,20+ years,I do not use machine learning methods,0,"200,000-249,999",205735
55-59,59,Bachelor's degree,Machine Learning Engineer,20+ years,5-10 years,6,"200,000-249,999",241037
55-59,59,Master's degree,Other,20+ years,2-3 years,2,"200,000-249,999",245644
55-59,55,Doctoral degree,Other,20+ years,4-5 years,5,"250,000-299,999",276975
55-59,58,Master's degree,Other,5-10 years,Under 1 year,0.5,"250,000-299,999",250870
55-59,59,Master's degree,Data Scientist,5-10 years,5-10 years,8,"250,000-299,999",264306
55-59,56,Doctoral degree,Data Scientist,3-5 years,3-4 years,4,"300,000-500,000",485321
55-59,57,Doctoral degree,Data Scientist,20+ years,20 or more years,28,"300,000-500,000",332645
55-59,58,Master's degree,Data Scientist,20+ years,20 or more years,28,"300,000-500,000",441651
55-59,59,Master's degree,Other,I have never written code,,,"300,000-500,000",375753
55-59,57,Doctoral degree,Research Scientist,5-10 years,I do not use machine learning methods,0,"40,000-49,999",41868
55-59,58,Bachelor's degree,Software Engineer,20+ years,2-3 years,3,"40,000-49,999",45319
55-59,55,Doctoral degree,Research Scientist,3-5 years,2-3 years,2,"50,000-59,999",50591
55-59,57,Master's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"50,000-59,999",55219
55-59,55,Master's degree,Data Analyst,1-2 years,1-2 years,2,"60,000-69,999",61437
55-59,55,Bachelor's degree,Other,1-2 years,1-2 years,2,"60,000-69,999",64242
55-59,56,Master's degree,Business Analyst,10-20 years,4-5 years,5,"60,000-69,999",67007
55-59,57,No formal education past high school,Software Engineer,10-20 years,I do not use machine learning methods,0,"7,500-9,999",8318
55-59,55,Bachelor's degree,Business Analyst,3-5 years,I do not use machine learning methods,0,"70,000-79,999",76034
55-59,56,Bachelor's degree,Other,I have never written code,,,"70,000-79,999",70273
55-59,56,Master's degree,Business Analyst,3-5 years,I do not use machine learning methods,0,"70,000-79,999",73689
55-59,58,Master's degree,Other,20+ years,10-20 years,16,"70,000-79,999",71742
55-59,58,Master's degree,Data Analyst,5-10 years,Under 1 year,0.3,"70,000-79,999",74085
55-59,55,Doctoral degree,Data Scientist,I have never written code,,,"80,000-89,999",86032
55-59,57,Doctoral degree,Other,I have never written code,,,"80,000-89,999",81332
55-59,57,Master's degree,Research Scientist,20+ years,Under 1 year,0.8,"80,000-89,999",88030
55-59,58,Master's degree,Software Engineer,20+ years,Under 1 year,0.9,"80,000-89,999",82498
55-59,58,Master's degree,Other,I have never written code,,,"80,000-89,999",89968
55-59,55,Bachelor's degree,Product/Project Manager,< 1 years,Under 1 year,0.9,"90,000-99,999",96497
55-59,56,Master's degree,Software Engineer,10-20 years,Under 1 year,0.9,"90,000-99,999",90302
55-59,56,Master's degree,Other,3-5 years,Under 1 year,0.7,"90,000-99,999",95329
55-59,58,Master's degree,Other,3-5 years,Under 1 year,0.5,"90,000-99,999",98286
55-59,59,Doctoral degree,Other,< 1 years,Under 1 year,0.8,"90,000-99,999",91801
55-59,59,Master's degree,Research Scientist,5-10 years,5-10 years,9,"90,000-99,999",94882
55-59,55,Master's degree,Research Scientist,20+ years,3-4 years,3,,
55-59,55,Some college/university study without earning a bachelor's degree,Currently not employed,20+ years,4-5 years,5,,
55-59,55,Bachelor's degree,Currently not employed,3-5 years,Under 1 year,0.2,,
55-59,56,Bachelor's degree,,,,,,
55-59,56,Bachelor's degree,Other,5-10 years,,,,
55-59,56,Master's degree,Other,,,,,
55-59,56,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,,,,
55-59,57,Bachelor's degree,Currently not employed,3-5 years,2-3 years,3,,
55-59,57,Doctoral degree,Software Engineer,20+ years,5-10 years,9,,
55-59,58,Master's degree,Other,5-10 years,3-4 years,3,,
55-59,58,Doctoral degree,Currently not employed,5-10 years,5-10 years,9,,
55-59,58,Bachelor's degree,Currently not employed,10-20 years,I do not use machine learning methods,0,,
55-59,58,Bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
55-59,58,Master's degree,Software Engineer,5-10 years,Under 1 year,0.8,,
55-59,58,Doctoral degree,Other,10-20 years,,,,
55-59,58,Some college/university study without earning a bachelor's degree,Currently not employed,I have never written code,,,,
55-59,59,Doctoral degree,Currently not employed,10-20 years,2-3 years,2,,
55-59,59,Master's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
55-59,59,Master's degree,Research Scientist,20+ years,,,,
55-59,59,Some college/university study without earning a bachelor's degree,Other,3-5 years,,,,
60-69,60,Master's degree,Data Analyst,10-20 years,1-2 years,1,$0-999,89
60-69,60,Bachelor's degree,Other,20+ years,Under 1 year,0.9,$0-999,228
60-69,60,Bachelor's degree,Other,20+ years,2-3 years,2,$0-999,417
60-69,60,Master's degree,Other,20+ years,10-20 years,12,$0-999,418
60-69,60,Bachelor's degree,Product/Project Manager,5-10 years,3-4 years,3,$0-999,964
60-69,61,Master's degree,Software Engineer,20+ years,1-2 years,1,$0-999,539
60-69,61,Master's degree,Other,20+ years,2-3 years,2,$0-999,911
60-69,62,Doctoral degree,Data Scientist,20+ years,5-10 years,9,$0-999,270
60-69,62,Master's degree,Other,20+ years,4-5 years,4,$0-999,561
60-69,63,Bachelor's degree,Data Analyst,10-20 years,Under 1 year,0.4,$0-999,211
60-69,64,Bachelor's degree,Data Scientist,20+ years,20 or more years,21,$0-999,955
60-69,65,Doctoral degree,Statistician,20+ years,2-3 years,3,$0-999,205
60-69,65,Bachelor's degree,Other,3-5 years,3-4 years,4,$0-999,804
60-69,65,Master's degree,Data Engineer,20+ years,Under 1 year,0.2,$0-999,904
60-69,66,Bachelor's degree,Other,5-10 years,Under 1 year,0.6,$0-999,746
60-69,66,Master's degree,Data Scientist,20+ years,4-5 years,5,$0-999,967
60-69,68,Bachelor's degree,Software Engineer,20+ years,I do not use machine learning methods,0,$0-999,274
60-69,65,Master's degree,Data Scientist,3-5 years,1-2 years,1,"10,000-14,999",12932
60-69,67,Bachelor's degree,Other,20+ years,I do not use machine learning methods,0,"10,000-14,999",12241
60-69,69,Master's degree,Business Analyst,20+ years,20 or more years,24,"10,000-14,999",12609
60-69,60,Master's degree,DBA/Database Engineer,20+ years,I do not use machine learning methods,0,"100,000-124,999",108339
60-69,61,Bachelor's degree,DBA/Database Engineer,20+ years,3-4 years,4,"100,000-124,999",103381
60-69,62,Bachelor's degree,Other,20+ years,4-5 years,4,"100,000-124,999",108570
60-69,62,Master's degree,Data Scientist,20+ years,5-10 years,7,"100,000-124,999",114394
60-69,62,Doctoral degree,Other,20+ years,Under 1 year,0.9,"100,000-124,999",120587
60-69,63,Master's degree,Software Engineer,20+ years,4-5 years,4,"100,000-124,999",109013
60-69,64,Some college/university study without earning a bachelor's degree,Other,10-20 years,3-4 years,4,"100,000-124,999",105143
60-69,64,Professional degree,Statistician,20+ years,I do not use machine learning methods,0,"100,000-124,999",109179
60-69,64,Bachelor's degree,Other,20+ years,4-5 years,4,"100,000-124,999",117927
60-69,66,Bachelor's degree,DBA/Database Engineer,20+ years,I do not use machine learning methods,0,"100,000-124,999",101667
60-69,66,Bachelor's degree,Research Scientist,5-10 years,Under 1 year,0.2,"100,000-124,999",106148
60-69,66,Doctoral degree,Research Scientist,20+ years,2-3 years,3,"100,000-124,999",106174
60-69,66,Master's degree,Product/Project Manager,20+ years,1-2 years,2,"100,000-124,999",113863
60-69,68,Master's degree,Product/Project Manager,10-20 years,2-3 years,3,"100,000-124,999",103023
60-69,68,Doctoral degree,Data Scientist,20+ years,20 or more years,29,"100,000-124,999",108080
60-69,68,Professional degree,Research Scientist,I have never written code,,,"100,000-124,999",111541
60-69,68,Bachelor's degree,Other,I have never written code,,,"100,000-124,999",120675
60-69,68,Master's degree,Data Engineer,20+ years,Under 1 year,0.2,"100,000-124,999",123271
60-69,69,Professional degree,Software Engineer,20+ years,3-4 years,4,"100,000-124,999",119735
60-69,61,Bachelor's degree,Other,20+ years,5-10 years,5,"125,000-149,999",138196
60-69,62,Master's degree,DBA/Database Engineer,20+ years,3-4 years,3,"125,000-149,999",128436
60-69,64,Doctoral degree,Research Scientist,10-20 years,1-2 years,1,"125,000-149,999",129561
60-69,64,Master's degree,Data Engineer,20+ years,5-10 years,9,"125,000-149,999",134167
60-69,64,Professional degree,Data Scientist,5-10 years,4-5 years,5,"125,000-149,999",136222
60-69,65,Master's degree,Software Engineer,20+ years,Under 1 year,0.2,"125,000-149,999",137704
60-69,65,Master's degree,DBA/Database Engineer,20+ years,1-2 years,1,"125,000-149,999",145760
60-69,66,Master's degree,Product/Project Manager,20+ years,Under 1 year,0.2,"125,000-149,999",136843
60-69,67,Some college/university study without earning a bachelor's degree,Product/Project Manager,3-5 years,1-2 years,2,"125,000-149,999",129620
60-69,68,Doctoral degree,Data Scientist,20+ years,10-20 years,15,"125,000-149,999",131187
60-69,68,Doctoral degree,Data Scientist,20+ years,20 or more years,28,"125,000-149,999",142043
60-69,65,Master's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"15,000-19,999",19202
60-69,60,Master's degree,Data Scientist,20+ years,20 or more years,21,"150,000-199,999",170128
60-69,60,Bachelor's degree,Software Engineer,20+ years,Under 1 year,0.4,"150,000-199,999",178557
60-69,62,Doctoral degree,Statistician,10-20 years,Under 1 year,0.6,"150,000-199,999",166785
60-69,62,Doctoral degree,Research Scientist,20+ years,20 or more years,20,"150,000-199,999",177212
60-69,62,Doctoral degree,Research Scientist,20+ years,20 or more years,27,"150,000-199,999",195176
60-69,63,Doctoral degree,Research Scientist,20+ years,5-10 years,9,"150,000-199,999",154446
60-69,63,Bachelor's degree,Software Engineer,20+ years,5-10 years,9,"150,000-199,999",175826
60-69,63,Doctoral degree,Research Scientist,20+ years,I do not use machine learning methods,0,"150,000-199,999",176721
60-69,63,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,2-3 years,2,"150,000-199,999",179052
60-69,64,Master's degree,Product/Project Manager,20+ years,Under 1 year,0.5,"150,000-199,999",170580
60-69,66,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,3-4 years,4,"150,000-199,999",153120
60-69,66,Doctoral degree,Other,1-2 years,10-20 years,13,"150,000-199,999",157979
60-69,66,Bachelor's degree,Product/Project Manager,< 1 years,Under 1 year,0.1,"150,000-199,999",170468
60-69,66,Master's degree,Data Scientist,20+ years,20 or more years,23,"150,000-199,999",182587
60-69,67,Master's degree,Data Analyst,20+ years,2-3 years,3,"150,000-199,999",180277
60-69,68,Master's degree,Other,20+ years,2-3 years,3,"150,000-199,999",172059
60-69,69,Master's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"150,000-199,999",151414
60-69,69,Doctoral degree,Software Engineer,20+ years,5-10 years,8,"150,000-199,999",153646
60-69,64,Master's degree,Product/Project Manager,20+ years,Under 1 year,0.9,"20,000-24,999",21281
60-69,66,Master's degree,Other,1-2 years,1-2 years,1,"20,000-24,999",23255
60-69,67,Master's degree,Product/Project Manager,10-20 years,Under 1 year,0.2,"20,000-24,999",21462
60-69,60,Master's degree,Other,20+ years,5-10 years,6,"200,000-249,999",212547
60-69,60,Master's degree,Software Engineer,20+ years,5-10 years,6,"200,000-249,999",220585
60-69,63,Doctoral degree,Data Engineer,20+ years,5-10 years,9,"200,000-249,999",213692
60-69,66,Bachelor's degree,Research Scientist,20+ years,5-10 years,7,"200,000-249,999",202409
60-69,67,Bachelor's degree,Other,3-5 years,Under 1 year,0.1,"200,000-249,999",213462
60-69,68,Doctoral degree,Data Scientist,20+ years,20 or more years,21,"200,000-249,999",200726
60-69,62,Professional degree,Other,5-10 years,Under 1 year,0.5,"250,000-299,999",260975
60-69,62,Doctoral degree,Other,10-20 years,20 or more years,28,"250,000-299,999",286063
60-69,64,Master's degree,Other,20+ years,4-5 years,5,"250,000-299,999",287118
60-69,61,Doctoral degree,Data Analyst,20+ years,I do not use machine learning methods,0,"30,000-39,999",33879
60-69,60,Doctoral degree,Statistician,20+ years,1-2 years,1,"300,000-500,000",356024
60-69,69,Doctoral degree,Other,20+ years,2-3 years,3,"300,000-500,000",475051
60-69,62,Master's degree,Product/Project Manager,I have never written code,,,"40,000-49,999",47816
60-69,66,Master's degree,Product/Project Manager,20+ years,1-2 years,1,"40,000-49,999",43085
60-69,68,Master's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"40,000-49,999",40021
60-69,64,Some college/university study without earning a bachelor's degree,Machine Learning Engineer,3-5 years,2-3 years,3,"5,000-7,499",6542
60-69,68,Bachelor's degree,Software Engineer,20+ years,I do not use machine learning methods,0,"50,000-59,999",53380
60-69,68,Master's degree,Data Analyst,1-2 years,1-2 years,2,"60,000-69,999",61422
60-69,68,Master's degree,Product/Project Manager,20+ years,1-2 years,1,"60,000-69,999",63818
60-69,62,Bachelor's degree,Product/Project Manager,20+ years,3-4 years,3,"70,000-79,999",71789
60-69,64,Master's degree,Data Analyst,1-2 years,4-5 years,5,"70,000-79,999",73235
60-69,67,Master's degree,Other,20+ years,2-3 years,3,"70,000-79,999",76635
60-69,67,Doctoral degree,Other,10-20 years,4-5 years,4,"70,000-79,999",77560
60-69,68,Master's degree,Data Scientist,1-2 years,Under 1 year,0.0,"70,000-79,999",75075
60-69,68,Master's degree,Other,1-2 years,Under 1 year,0.8,"70,000-79,999",75255
60-69,69,Master's degree,Other,I have never written code,,,"70,000-79,999",77228
60-69,60,Doctoral degree,Research Scientist,20+ years,I do not use machine learning methods,0,"80,000-89,999",87273
60-69,61,Doctoral degree,Data Scientist,20+ years,4-5 years,4,"80,000-89,999",88901
60-69,62,Doctoral degree,Research Scientist,20+ years,I do not use machine learning methods,0,"80,000-89,999",83060
60-69,67,Doctoral degree,Machine Learning Engineer,10-20 years,20 or more years,27,"80,000-89,999",80578
60-69,60,Master's degree,Statistician,20+ years,10-20 years,15,"90,000-99,999",92850
60-69,60,Master's degree,Software Engineer,20+ years,Under 1 year,0.5,"90,000-99,999",99644
60-69,61,Doctoral degree,Product/Project Manager,10-20 years,I do not use machine learning methods,0,"90,000-99,999",91925
60-69,61,Master's degree,Software Engineer,20+ years,2-3 years,3,"90,000-99,999",93278
60-69,61,Master's degree,Other,20+ years,Under 1 year,0.2,"90,000-99,999",94432
60-69,61,Bachelor's degree,Software Engineer,20+ years,4-5 years,5,"90,000-99,999",99413
60-69,63,Bachelor's degree,Product/Project Manager,10-20 years,1-2 years,2,"90,000-99,999",93601
60-69,64,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,2-3 years,2,"90,000-99,999",98514
60-69,65,Doctoral degree,Other,I have never written code,,,"90,000-99,999",99400
60-69,68,Master's degree,DBA/Database Engineer,20+ years,3-4 years,4,"90,000-99,999",91128
60-69,68,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.3,"90,000-99,999",93134
60-69,60,Doctoral degree,Currently not employed,20+ years,10-20 years,17,,
60-69,60,Bachelor's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
60-69,60,Some college/university study without earning a bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
60-69,60,Bachelor's degree,Currently not employed,20+ years,Under 1 year,0.0,,
60-69,60,Doctoral degree,Currently not employed,5-10 years,Under 1 year,0.1,,
60-69,62,Master's degree,Product/Project Manager,5-10 years,4-5 years,4,,
60-69,62,Master's degree,Student,3-5 years,Under 1 year,0.3,,
60-69,62,Master's degree,Currently not employed,I have never written code,,,,
60-69,63,Master's degree,Currently not employed,20+ years,1-2 years,2,,
60-69,65,Doctoral degree,Currently not employed,1-2 years,2-3 years,2,,
60-69,65,Master's degree,Student,20+ years,I do not use machine learning methods,0,,
